feature,family,log_hazard_ratio_per_sd,hazard_ratio_per_sd,ci95_low,ci95_high,p_value,n,events,error,fdr_bh,valid_training_splits,split_log_hr_median,split_log_hr_q25,split_log_hr_q75,direction_consistency,gene,state,state_rank,prominence_score,bootstrap_selection_frequency,stable_marker,hpa_evidence
FPR1,gene,-0.0132357187436637,0.9868514882087744,0.7890376476617424,1.2342577856277015,0.907681978053845,182,77,,0.986490966722809,50,0.0013323640977129,-0.0609450072108124,0.0414771100041793,0.48,FPR1,Mono/Macro,7,1.0020390441914964,1.0,True,Evidence at protein level
BGN,gene,0.0099765547079604,1.010026486440627,0.8097837251542399,1.2597851396893522,0.9294853328341198,182,77,,0.986490966722809,50,0.0015054634784975,-0.0366069891459595,0.056863704498365,0.56,BGN,Pericytes,3,1.0507898811516572,1.0,True,Evidence at protein level
BANK1,gene,-0.0090553988804906,0.9909854777661198,0.7665533416655006,1.281127044609351,0.94489861363956,182,77,,0.986490966722809,50,-0.0056238225658288,-0.0510082176673739,0.0215760206896241,0.54,BANK1,B,3,0.9995124707063944,1.0,True,Evidence at protein level
VMO1,gene,0.0057806871450315,1.0057974275584518,0.8411563221764333,1.2026640454483906,0.9494628961838316,182,77,,0.986490966722809,50,0.0053895515270108,-0.0333272470859687,0.0384576551450902,0.54,VMO1,DC,9,0.9493178774690324,1.0,True,Evidence at protein level
FCGR2B,gene,0.0078058704229506,1.0078364156551294,0.7841015422226837,1.2954116093705013,0.9514009446700608,182,77,,0.986490966722809,50,0.0202568967737766,-0.0317057363221421,0.0683796480420666,0.54,FCGR2B,Plasma,10,0.9821152075661198,1.0,True,Evidence at protein level
RAMP2,gene,0.0079332283246823,1.007964779760234,0.7798361823948442,1.3028287481058205,0.9516821153289206,182,77,,0.986490966722809,50,0.0117586430519962,-0.0469944825649637,0.0568159557105652,0.56,RAMP2,Endothelial,5,1.041068588885169,1.0,True,Evidence at protein level
CNRIP1,gene,-0.0059156604495202,0.994101802617596,0.811256983543601,1.218157025472855,0.954510075046778,182,77,,0.986490966722809,50,-0.007567170991434,-0.0380698325415333,0.025194221179901,0.54,CNRIP1,Mast,6,1.0190272430532306,1.0,True,Evidence at protein level
TM4SF1,gene,0.0065829739098806,1.0066046893071092,0.774898175775495,1.307595026302686,0.9606644232881716,182,77,,0.986490966722809,50,0.0102953881103658,-0.0407795898444827,0.0550388739873894,0.58,TM4SF1,Endothelial,9,1.01710723970539,0.982,True,Evidence at protein level
ESAM,gene,0.0076620280077371,1.007691456456852,0.7333675742390959,1.3846290824484595,0.9623073215292876,182,77,,0.986490966722809,50,0.0143509927276044,-0.0381799572835971,0.0922966840064904,0.56,ESAM,Endothelial,8,1.021794442584533,1.0,True,Evidence at protein level
SPARCL1,gene,0.0027024101121835,1.0027060649139068,0.807223412865784,1.2455281110414245,0.9805140154215236,182,77,,0.986490966722809,50,0.0049250912938822,-0.0378601395844314,0.0301570549026364,0.54,SPARCL1,Pericytes,2,1.0509823819886173,1.0,True,Evidence at protein level
PKMYT1,gene,-0.0029419210262626,0.9970624021828473,0.7800985776295173,1.2743689866317915,0.9812536415941367,182,77,,0.986490966722809,50,0.0163923695490454,-0.0344726641132346,0.0471772483243155,0.46,PKMYT1,Tprolif,8,0.9318279733009708,0.986,True,Evidence at protein level
DCN,gene,0.0016258854175711,1.001627207885897,0.8301244040000975,1.208562305532678,0.9864621800706422,182,77,,0.986490966722809,50,-0.0064147242550015,-0.0350707865984147,0.0406692858245906,0.44,DCN,Fibroblasts,5,1.026799464345497,1.0,True,Evidence at protein level
CLDN4,gene,-0.0029281969451003,0.9970760860420778,0.7104304214535023,1.3993780268066076,0.9864909667228088,182,77,,0.986490966722809,50,0.0067509819012372,-0.0564613410322311,0.0702169738101716,0.48,CLDN4,Malignant,2,1.0456645463675929,1.0,True,Evidence at protein level
