state,gene,donors,baseline_specificity_effect,bootstrap_selection_frequency,bootstrap_effect_mean,bootstrap_effect_sd,bootstrap_effect_ci95_low,bootstrap_effect_ci95_high,hpa_evidence,hpa_weight,prominence_score,stable_marker,state_rank
Plasma,DNAAF1,60,0.8977862403749581,1.0,0.7663952741622925,0.00834129661703631,0.7518291473388672,0.7850934267044067,Evidence at protein level,1.15,1.0324541764312019,True,3
Plasma,IGHG4,60,0.8960913960495481,1.0,0.7272711567878724,0.03231925622041173,0.6698563098907471,0.7828940749168396,Evidence at protein level,1.15,1.0305051054569803,True,4
Plasma,JSRP1,60,0.8946476397723468,1.0,0.7427951337099076,0.012360271235552323,0.6916431784629822,0.758109986782074,Evidence at protein level,1.15,1.0288447857381988,True,5
Plasma,IGLL5,60,0.8785152326749246,1.0,0.6909065599441528,0.018782156183575635,0.6628129482269287,0.7405897974967957,Evidence at protein level,1.15,1.0102925175761632,True,6
Plasma,IGLV6-57,60,0.8777201205222631,1.0,0.6998529614210128,0.023471236389080677,0.6560869216918945,0.7492287158966064,Evidence at protein level,1.15,1.0093781386006024,True,7
Plasma,RASSF6,60,0.873514395714764,1.0,0.7636502128839493,0.01234439960749938,0.7405368685722351,0.7843794226646423,Evidence at protein level,1.15,1.0045415550719785,True,8
Plasma,MEF2B,60,0.8583863408101775,1.0,0.763295485496521,0.013407390094970457,0.7470028400421143,0.7903825640678406,Evidence at protein level,1.15,0.987144291931704,True,9
Plasma,FCGR2B,60,0.854013223970539,1.0,0.7092574046850204,0.027074542664477105,0.6444684267044067,0.7304301857948303,Evidence at protein level,1.15,0.9821152075661198,True,10
Tprolif,GZMA,60,0.8734306996986944,1.0,0.6959788429737092,0.03655480115170132,0.6080747246742249,0.7349303364753723,Evidence at protein level,1.15,1.0044453046534985,True,1
Tprolif,CD8B,60,0.8536156678942082,1.0,0.7429139629602433,0.015760476739253983,0.708652138710022,0.7679081559181213,Evidence at protein level,1.15,0.9816580180783393,True,2
Tprolif,CD247,60,0.8369392366923334,1.0,0.6851488007307053,0.008148900548775508,0.6701340079307556,0.6992242336273193,Evidence at protein level,1.15,0.9624801221961833,True,3
Tprolif,GZMK,60,0.8291764312018748,1.0,0.7225067006349564,0.017889814128122912,0.6851947903633118,0.7559943795204163,Evidence at protein level,1.15,0.953552895882156,True,4
Tprolif,ICOS,60,0.851146635420154,0.964,0.6824943583011627,0.06542360923022951,0.49539846181869507,0.7441907525062561,Evidence at protein level,1.15,0.9435811600267826,True,5
Tprolif,CTLA4,60,0.8181076330766656,0.996,0.6626346958875656,0.025641095597367557,0.5850538015365601,0.6990744471549988,Evidence at protein level,1.15,0.9370604829260127,True,6
Tprolif,KLRD1,60,0.8112445597589555,1.0,0.6750779254436493,0.019385363548849826,0.6386591792106628,0.7075105905532837,Evidence at protein level,1.15,0.9329312437227988,True,7
Tprolif,PKMYT1,60,0.8217902577837295,0.986,0.6446861777305603,0.040405412004155435,0.5671941041946411,0.6871517896652222,Evidence at protein level,1.15,0.9318279733009708,True,8
Tprolif,CD96,60,0.8138391362571141,0.994,0.6585955572128296,0.014460624234337867,0.6411186456680298,0.6798660755157471,Evidence at protein level,1.15,0.930299516655507,True,9
Tprolif,XCL1,60,0.8062646468028122,1.0,0.6871632587909698,0.018720615016390274,0.6447373032569885,0.722765326499939,Evidence at protein level,1.15,0.9272043438232339,True,10
Treg,CTLA4,60,0.8658980582524273,1.0,0.6916819462776184,0.025452590130650526,0.6145054697990417,0.7258551120758057,Evidence at protein level,1.15,0.9957827669902913,True,1
Treg,CD247,60,0.849661031134918,1.0,0.6946875863075256,0.007908707794103381,0.6794252395629883,0.7072505354881287,Evidence at protein level,1.15,0.9771101858051556,True,2
Treg,ICOS,60,0.8804402410445263,0.964,0.6995740478634834,0.06535177752821658,0.5111424326896667,0.7604019641876221,Evidence at protein level,1.15,0.9760560512219618,True,3
Treg,CD5,60,0.8284022430532306,1.0,0.6895035263299942,0.013986077933541867,0.6713593006134033,0.731756865978241,Evidence at protein level,1.15,0.9526625795112151,True,4
Treg,ITK,60,0.8222296618680951,1.0,0.7032997171878814,0.025611793594825114,0.62013840675354,0.7310516834259033,Evidence at protein level,1.15,0.9455641111483093,True,5
Treg,GZMM,60,0.8165174087713425,1.0,0.7143106480836868,0.014579634448693602,0.6678067445755005,0.7448034286499023,Evidence at protein level,1.15,0.9389950200870438,True,6
Treg,GZMA,60,0.8027912621359223,1.0,0.665208744764328,0.036785120828650215,0.5771949887275696,0.7054963111877441,Evidence at protein level,1.15,0.9232099514563106,True,7
Treg,CD96,60,0.8021216940073652,0.998,0.6618755295276642,0.014336552412470253,0.6462402939796448,0.6853227019309998,Evidence at protein level,1.15,0.920595068212253,True,8
Treg,ZAP70,60,0.8031260462002009,0.97,0.6312309597730636,0.054220544660450454,0.5510357618331909,0.7190629243850708,Evidence at protein level,1.15,0.895887104536324,True,9
Treg,CD6,60,0.7919735520589221,0.966,0.6545701680183411,0.03396043478510413,0.5415902733802795,0.6831893920898438,Evidence at protein level,1.15,0.8798034189822564,True,10
